sample_name,assay_type,library_prep_date,flowcell_id,file_type,gcs_uri,gcs_bucket,file_path,file_format,extra_metadata
SAMPLE-00037,RNA-Seq,4/6/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane4/SAMPLE-00037_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00037,RNA-Seq,4/6/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane4/SAMPLE-00037_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00038,ChIP-Seq,4/7/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane1/SAMPLE-00038_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00038,ChIP-Seq,4/7/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane1/SAMPLE-00038_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00039,RNA-Seq,4/8/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane1/SAMPLE-00039_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00039,RNA-Seq,4/8/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane1/SAMPLE-00039_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00040,ATAC-Seq,4/9/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane2/SAMPLE-00040_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00040,ATAC-Seq,4/9/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane2/SAMPLE-00040_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00041,RNA-Seq,4/10/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane1/SAMPLE-00041_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00041,RNA-Seq,4/10/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane1/SAMPLE-00041_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00042,RNA-Seq,4/11/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane1/SAMPLE-00042_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00042,RNA-Seq,4/11/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane1/SAMPLE-00042_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00043,ChIP-Seq,4/12/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane2/SAMPLE-00043_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00043,ChIP-Seq,4/12/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane2/SAMPLE-00043_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00044,ChIP-Seq,4/13/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane2/SAMPLE-00044_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00044,ChIP-Seq,4/13/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane2/SAMPLE-00044_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00045,ATAC-Seq,4/14/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane3/SAMPLE-00045_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00045,ATAC-Seq,4/14/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane3/SAMPLE-00045_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00046,ATAC-Seq,4/15/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane2/SAMPLE-00046_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00046,ATAC-Seq,4/15/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane2/SAMPLE-00046_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00047,RNA-Seq,4/16/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane2/SAMPLE-00047_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00047,RNA-Seq,4/16/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane2/SAMPLE-00047_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00048,ChIP-Seq,4/17/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane3/SAMPLE-00048_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00048,ChIP-Seq,4/17/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane3/SAMPLE-00048_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00049,RNA-Seq,4/18/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane3/SAMPLE-00049_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00049,RNA-Seq,4/18/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane3/SAMPLE-00049_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00050,ATAC-Seq,4/19/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane4/SAMPLE-00050_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00050,ATAC-Seq,4/19/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane4/SAMPLE-00050_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00001,RNA-Seq,3/1/26,FC-00001,counts,gs://lims-analysis/rna_seq/SAMPLE-00001/2026-03-01/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00001,RNA-Seq,3/1/26,FC-00001,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00001/2026-03-01/qc_html.html,lims-analysis,,html,{}
SAMPLE-00002,RNA-Seq,3/2/26,FC-00002,counts,gs://lims-analysis/rna_seq/SAMPLE-00002/2026-03-02/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00002,RNA-Seq,3/2/26,FC-00002,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00002/2026-03-02/qc_html.html,lims-analysis,,html,{}
SAMPLE-00003,ChIP-Seq,3/3/26,FC-00003,vcf,gs://lims-analysis/chip_seq/SAMPLE-00003/2026-03-03/vcf.vcf.gz,lims-analysis,,vcf.gz,{}
SAMPLE-00003,ChIP-Seq,3/3/26,FC-00003,qc_html,gs://lims-analysis/chip_seq/SAMPLE-00003/2026-03-03/qc_html.html,lims-analysis,,html,{}
SAMPLE-00004,ChIP-Seq,3/4/26,FC-00004,vcf,gs://lims-analysis/chip_seq/SAMPLE-00004/2026-03-04/vcf.vcf.gz,lims-analysis,,vcf.gz,{}
SAMPLE-00004,ChIP-Seq,3/4/26,FC-00004,qc_html,gs://lims-analysis/chip_seq/SAMPLE-00004/2026-03-04/qc_html.html,lims-analysis,,html,{}
SAMPLE-00005,ATAC-Seq,3/5/26,FC-00005,counts,gs://lims-analysis/atac_seq/SAMPLE-00005/2026-03-05/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00005,ATAC-Seq,3/5/26,FC-00005,qc_html,gs://lims-analysis/atac_seq/SAMPLE-00005/2026-03-05/qc_html.html,lims-analysis,,html,{}
SAMPLE-00006,ATAC-Seq,3/6/26,FC-00001,counts,gs://lims-analysis/atac_seq/SAMPLE-00006/2026-03-06/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00006,ATAC-Seq,3/6/26,FC-00001,qc_html,gs://lims-analysis/atac_seq/SAMPLE-00006/2026-03-06/qc_html.html,lims-analysis,,html,{}
SAMPLE-00007,RNA-Seq,3/7/26,FC-00002,counts,gs://lims-analysis/rna_seq/SAMPLE-00007/2026-03-07/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00007,RNA-Seq,3/7/26,FC-00002,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00007/2026-03-07/qc_html.html,lims-analysis,,html,{}
SAMPLE-00008,ChIP-Seq,3/8/26,FC-00003,vcf,gs://lims-analysis/chip_seq/SAMPLE-00008/2026-03-08/vcf.vcf.gz,lims-analysis,,vcf.gz,{}
SAMPLE-00008,ChIP-Seq,3/8/26,FC-00003,qc_html,gs://lims-analysis/chip_seq/SAMPLE-00008/2026-03-08/qc_html.html,lims-analysis,,html,{}
SAMPLE-00009,RNA-Seq,3/9/26,FC-00004,counts,gs://lims-analysis/rna_seq/SAMPLE-00009/2026-03-09/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00009,RNA-Seq,3/9/26,FC-00004,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00009/2026-03-09/qc_html.html,lims-analysis,,html,{}
SAMPLE-00010,ATAC-Seq,3/10/26,FC-00005,counts,gs://lims-analysis/atac_seq/SAMPLE-00010/2026-03-10/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00010,ATAC-Seq,3/10/26,FC-00005,qc_html,gs://lims-analysis/atac_seq/SAMPLE-00010/2026-03-10/qc_html.html,lims-analysis,,html,{}
SAMPLE-00011,RNA-Seq,3/11/26,FC-00001,counts,gs://lims-analysis/rna_seq/SAMPLE-00011/2026-03-11/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00011,RNA-Seq,3/11/26,FC-00001,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00011/2026-03-11/qc_html.html,lims-analysis,,html,{}
SAMPLE-00012,RNA-Seq,3/12/26,FC-00002,counts,gs://lims-analysis/rna_seq/SAMPLE-00012/2026-03-12/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00012,RNA-Seq,3/12/26,FC-00002,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00012/2026-03-12/qc_html.html,lims-analysis,,html,{}
SAMPLE-00013,ChIP-Seq,3/13/26,FC-00003,vcf,gs://lims-analysis/chip_seq/SAMPLE-00013/2026-03-13/vcf.vcf.gz,lims-analysis,,vcf.gz,{}
SAMPLE-00013,ChIP-Seq,3/13/26,FC-00003,qc_html,gs://lims-analysis/chip_seq/SAMPLE-00013/2026-03-13/qc_html.html,lims-analysis,,html,{}
SAMPLE-00014,ChIP-Seq,3/14/26,FC-00004,vcf,gs://lims-analysis/chip_seq/SAMPLE-00014/2026-03-14/vcf.vcf.gz,lims-analysis,,vcf.gz,{}
SAMPLE-00014,ChIP-Seq,3/14/26,FC-00004,qc_html,gs://lims-analysis/chip_seq/SAMPLE-00014/2026-03-14/qc_html.html,lims-analysis,,html,{}
SAMPLE-00015,ATAC-Seq,3/15/26,FC-00005,counts,gs://lims-analysis/atac_seq/SAMPLE-00015/2026-03-15/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00015,ATAC-Seq,3/15/26,FC-00005,qc_html,gs://lims-analysis/atac_seq/SAMPLE-00015/2026-03-15/qc_html.html,lims-analysis,,html,{}
SAMPLE-00016,ATAC-Seq,3/16/26,FC-00001,counts,gs://lims-analysis/atac_seq/SAMPLE-00016/2026-03-16/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00016,ATAC-Seq,3/16/26,FC-00001,qc_html,gs://lims-analysis/atac_seq/SAMPLE-00016/2026-03-16/qc_html.html,lims-analysis,,html,{}
SAMPLE-00017,RNA-Seq,3/17/26,FC-00002,counts,gs://lims-analysis/rna_seq/SAMPLE-00017/2026-03-17/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00017,RNA-Seq,3/17/26,FC-00002,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00017/2026-03-17/qc_html.html,lims-analysis,,html,{}
SAMPLE-00018,ChIP-Seq,3/18/26,FC-00003,vcf,gs://lims-analysis/chip_seq/SAMPLE-00018/2026-03-18/vcf.vcf.gz,lims-analysis,,vcf.gz,{}
SAMPLE-00018,ChIP-Seq,3/18/26,FC-00003,qc_html,gs://lims-analysis/chip_seq/SAMPLE-00018/2026-03-18/qc_html.html,lims-analysis,,html,{}
SAMPLE-00019,RNA-Seq,3/19/26,FC-00004,counts,gs://lims-analysis/rna_seq/SAMPLE-00019/2026-03-19/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00019,RNA-Seq,3/19/26,FC-00004,qc_html,gs://lims-analysis/rna_seq/SAMPLE-00019/2026-03-19/qc_html.html,lims-analysis,,html,{}
SAMPLE-00020,ATAC-Seq,3/20/26,FC-00005,counts,gs://lims-analysis/atac_seq/SAMPLE-00020/2026-03-20/counts.tsv,lims-analysis,,tsv,{}
SAMPLE-00020,ATAC-Seq,3/20/26,FC-00005,qc_html,gs://lims-analysis/atac_seq/SAMPLE-00020/2026-03-20/qc_html.html,lims-analysis,,html,{}
SAMPLE-00021,RNA-Seq,3/21/26,FC-00001,counts,gs://lims-analysis/rna_seq/SAMPLE-00021/2026-03-21/counts.tsv,lims-analysis,,tsv,{}
